"","Organization","Type","positive","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Precision","Recall","F1","Prevalence","Detection_Rate","Detection_Prevalence","Balanced_Accuracy","Size","AUC"
"1","ABC News","wowData","0",0.700867052023121,0.401734104046243,0.665224366585605,0.734786427520312,0.5,6.44748005002013e-27,0.126238241770713,0.667630057803468,0.734104046242775,0.715170278637771,0.688346883468835,0.715170278637771,0.667630057803468,0.690582959641256,0.5,0.333815028901734,0.466763005780347,0.700867052023121,1386,0.700867052023121
"2","ABC News","wowData","0",0.696531791907514,0.393063583815029,0.660768441482901,0.730609209380596,0.5,8.13098378563032e-26,1,0.696531791907514,0.696531791907514,0.696531791907514,0.696531791907514,0.696531791907514,0.696531791907514,0.696531791907514,0.5,0.348265895953757,0.5,0.696531791907514,1386,0.696531791907514
"3","ABC News","wowData","0",0.705202312138728,0.410404624277457,0.669683916185905,0.738960006476774,0.5,4.80756888254795e-28,0.62406453246517,0.69364161849711,0.716763005780347,0.710059171597633,0.700564971751412,0.710059171597633,0.69364161849711,0.701754385964912,0.5,0.346820809248555,0.488439306358382,0.705202312138728,1386,0.705202312138728
"4","ABC News","wowData","0",0.710982658959538,0.421965317919075,0.675635699895229,0.744519036899648,0.5,1.36987843849015e-29,0.832004028572637,0.705202312138728,0.716763005780347,0.713450292397661,0.708571428571429,0.713450292397661,0.705202312138728,0.709302325581395,0.5,0.352601156069364,0.494219653179191,0.710982658959538,1386,0.710982658959537
"5","ABC News","wowData","0",0.747109826589595,0.494219653179191,0.712989876408523,0.779106723500913,0.5,2.26490915728454e-40,0.650147444094854,0.736994219653179,0.757225433526012,0.752212389380531,0.742209631728045,0.752212389380531,0.736994219653179,0.744525547445256,0.5,0.36849710982659,0.489884393063584,0.747109826589595,1386,0.747109826589595
"6","ABC News","wowData","0",0.738439306358382,0.476878612716763,0.703999489645722,0.770831190405657,0.5,1.33027348553354e-37,1,0.736994219653179,0.739884393063584,0.739130434782609,0.737752161383285,0.739130434782609,0.736994219653179,0.738060781476122,0.5,0.36849710982659,0.498554913294798,0.738439306358382,1386,0.738439306358382
"7","ABC News","wowData","0",0.710982658959538,0.421965317919075,0.675635699895229,0.744519036899648,0.5,1.36987843849015e-29,0.832004028572637,0.705202312138728,0.716763005780347,0.713450292397661,0.708571428571429,0.713450292397661,0.705202312138728,0.709302325581395,0.5,0.352601156069364,0.494219653179191,0.710982658959538,1386,0.710982658959537
"8","ABC News","wowData","0",0.709537572254335,0.41907514450867,0.674147136097321,0.743129899803034,0.5,3.36910983581701e-29,1,0.710982658959538,0.708092485549133,0.708933717579251,0.710144927536232,0.708933717579251,0.710982658959538,0.70995670995671,0.5,0.355491329479769,0.501445086705202,0.709537572254335,1386,0.709537572254335
"9","ABC News","wowData","0",0.705202312138728,0.410404624277457,0.669683916185905,0.738960006476774,0.5,4.80756888254795e-28,0.944182513250483,0.708092485549133,0.702312138728324,0.704022988505747,0.706395348837209,0.704022988505747,0.708092485549133,0.706051873198847,0.5,0.354046242774566,0.502890173410405,0.705202312138728,1386,0.705202312138728
"10","ABC News","wowData","0",0.729768786127168,0.459537572254335,0.695025487464459,0.76253918725497,0.5,5.97867336537232e-35,0.305938540538881,0.751445086705202,0.708092485549133,0.720221606648199,0.740181268882175,0.720221606648199,0.751445086705202,0.735502121640735,0.5,0.375722543352601,0.521676300578035,0.729768786127168,1386,0.729768786127168
"11","BBC","wowData","0",0.704013377926421,0.408026755852843,0.665646075638378,0.740351655470006,0.5,3.34672564890042e-24,0.292659895634124,0.678929765886288,0.729096989966555,0.714788732394366,0.694267515923567,0.714788732394366,0.678929765886288,0.696397941680961,0.5,0.339464882943144,0.474916387959866,0.704013377926421,1198,0.704013377926421
"12","BBC","wowData","0",0.712374581939799,0.424749163879599,0.674271018487864,0.748365453235021,0.5,3.89817486860503e-26,0.321568057748603,0.735785953177257,0.688963210702341,0.702875399361022,0.72280701754386,0.702875399361022,0.735785953177257,0.718954248366013,0.5,0.367892976588629,0.523411371237458,0.712374581939799,1198,0.712374581939799
"13","BBC","wowData","0",0.705685618729097,0.411371237458194,0.667369882941825,0.741955602067836,0.5,1.39578890834356e-24,0.152092632481581,0.672240802675585,0.739130434782609,0.720430107526882,0.692789968652038,0.720430107526882,0.672240802675585,0.695501730103806,0.5,0.336120401337793,0.466555183946488,0.705685618729097,1198,0.705685618729097
"14","BBC","wowData","0",0.678929765886288,0.357859531772575,0.639857641488709,0.716223469507225,0.5,6.51156946422896e-19,0.427278906171976,0.698996655518395,0.658862876254181,0.672025723472669,0.686411149825784,0.672025723472669,0.698996655518395,0.685245901639344,0.5,0.349498327759197,0.520066889632107,0.678929765886288,1198,0.678929765886288
"15","BBC","wowData","0",0.688963210702341,0.377926421404682,0.650157796952791,0.725890028481357,0.5,6.14983878571955e-21,0.941548645970911,0.692307692307692,0.68561872909699,0.687707641196013,0.69023569023569,0.687707641196013,0.692307692307692,0.69,0.5,0.346153846153846,0.503344481605351,0.688963210702341,1198,0.688963210702341
"16","BBC","wowData","0",0.667224080267559,0.334448160535117,0.627865648946493,0.704920862511404,0.5,1.06253023997206e-16,0.156260142196521,0.702341137123746,0.632107023411371,0.65625,0.679856115107914,0.65625,0.702341137123746,0.678513731825525,0.5,0.351170568561873,0.535117056856187,0.667224080267559,1198,0.667224080267559
"17","BBC","wowData","0",0.712374581939799,0.424749163879599,0.674271018487864,0.748365453235021,0.5,3.89817486860503e-26,0.593517973439972,0.698996655518395,0.725752508361204,0.718213058419244,0.706840390879479,0.718213058419244,0.698996655518395,0.708474576271186,0.5,0.349498327759197,0.486622073578595,0.712374581939799,1198,0.712374581939799
