"","Type","positive","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Precision","Recall","F1","Prevalence","Detection_Rate","Detection_Prevalence","Balanced_Accuracy","Size","AUC"
"1","wowData","0",0.715835701369155,0.431671402738311,0.705644703136554,0.725863979683232,0.5,0,0.337355651776362,0.721777318522346,0.709894084215965,0.713300995659944,0.71843137254902,0.713300995659944,0.721777318522346,0.717514124293785,0.5,0.360888659261173,0.50594161715319,0.715835701369155,15484,0.715835701369155
"2","wowData","0",0.705244122965642,0.410488245931284,0.694947623926709,0.715385901160595,0.5,2.57798336303814e-294,0.543803153850395,0.709119090674244,0.70136915525704,0.703665726736734,0.706847175214788,0.703665726736734,0.709119090674244,0.706381883685023,0.5,0.354559545337122,0.503874967708602,0.705244122965642,15484,0.705244122965642
"3","wowData","0",0.702789976750194,0.405579953500387,0.692469980217166,0.712957105516535,0.5,3.66414971601073e-287,0.0109803668258735,0.718677344355464,0.686902609144924,0.696544817225839,0.709445037353255,0.696544817225839,0.718677344355464,0.707438016528926,0.5,0.359338672177732,0.51588736760527,0.702789976750194,15484,0.702789976750194
"4","wowData","0",0.700077499354172,0.400154998708344,0.689731940344224,0.710272238583045,0.5,2.27452987058869e-279,0.0849877738442049,0.710927408938259,0.689227589770085,0.69582806573957,0.704515447583839,0.69582806573957,0.710927408938259,0.703296703296703,0.5,0.355463704469129,0.510849909584087,0.700077499354172,15484,0.700077499354172
"5","wowData","0",0.715964866959442,0.431929733918884,0.705775196870485,0.72599171956362,0.5,0,0.494987699179706,0.711702402479979,0.720227331438905,0.717821782178218,0.714139344262295,0.717821782178218,0.711702402479979,0.714748994681541,0.5,0.35585120123999,0.495737535520537,0.715964866959442,15484,0.715964866959442
"6","wowData","0",0.703048307930767,0.406096615861534,0.692730768238508,0.713212784801803,0.5,6.54075980998774e-288,0.0242941402633161,0.717127357272023,0.688969258589512,0.69748743718593,0.708931419457735,0.69748743718593,0.717127357272023,0.707171061011336,0.5,0.358563678636011,0.514079049341255,0.703048307930767,15484,0.703048307930767
"7","wowData","0",0.715189873417722,0.430379746835443,0.704992249640204,0.725225265101802,0.5,4.94065645841247e-324,0.306685065904181,0.721518987341772,0.708860759493671,0.7125,0.717948717948718,0.7125,0.721518987341772,0.716981132075472,0.5,0.360759493670886,0.506329113924051,0.715189873417722,15484,0.715189873417722
"8","wowData","0",0.706019116507362,0.412038233014725,0.695730111088657,0.71615281587203,0.5,1.35623071077151e-296,0.515825422637298,0.710152415396538,0.701885817618186,0.704330002562132,0.707736389684814,0.704330002562132,0.710152415396538,0.707229225623875,0.5,0.355076207698269,0.504133298889176,0.706019116507362,15484,0.706019116507362
"9","wowData","0",0.705760785326789,0.411521570653578,0.695469278110743,0.715897181560311,0.5,7.81739282141629e-296,0.0465436703218982,0.718160681994317,0.693360888659261,0.700781446937232,0.710993377483444,0.700781446937232,0.718160681994317,0.709364633835162,0.5,0.359080340997158,0.512399896667528,0.705760785326789,15484,0.705760785326789
"10","wowData","0",0.698915009041591,0.397830018083183,0.688558625169596,0.70912145079263,0.5,4.57761988784578e-276,0.0683511669405042,0.710410746577112,0.687419271506071,0.694444444444444,0.703595980962454,0.694444444444444,0.710410746577112,0.7023368663006,0.5,0.355205373288556,0.511495737535521,0.698915009041591,15484,0.698915009041591
"11","hahaData","0",0.695067609096497,0.390135218192993,0.687077162139989,0.70297075540798,0.5,0,5.87678244183403e-18,0.65319606637984,0.736939151813153,0.712896193191347,0.679994328654473,0.712896193191347,0.65319606637984,0.681741640606206,0.5,0.32659803318992,0.458128457283344,0.695067609096497,26033,0.695067609096497
"12","hahaData","0",0.691379840196681,0.382759680393362,0.683363679271507,0.69931035272766,0.5,0,1.42108464263622e-15,0.652427781192379,0.730331899200983,0.707548741876354,0.677548111190306,0.707548741876354,0.652427781192379,0.678871212726837,0.5,0.326213890596189,0.461047940995698,0.691379840196681,26033,0.691379840196681
"13","hahaData","0",0.69760295021512,0.39520590043024,0.689630528369505,0.705486935420311,0.5,0,9.04065614370816e-19,0.654886293792256,0.740319606637984,0.716061827956989,0.682049830124575,0.716061827956989,0.654886293792256,0.684109149277689,0.5,0.327443146896128,0.457283343577136,0.69760295021512,26033,0.69760295021512
"14","hahaData","0",0.688460356484327,0.376920712968654,0.680424259108353,0.696412113411417,0.5,0,1.98833577920964e-12,0.653964351567302,0.722956361401352,0.702426142927876,0.676297254563749,0.702426142927876,0.653964351567302,0.677329513806,0.5,0.326982175783651,0.465503995082975,0.688460356484327,26033,0.688460356484327
"15","hahaData","0",0.697295636140135,0.39459127228027,0.68932101430218,0.705181959037306,0.5,0,8.59024032291639e-15,0.65980331899201,0.734787953288261,0.713289036544851,0.683533447684391,0.713289036544851,0.65980331899201,0.685504469987229,0.5,0.329901659496005,0.462507682851875,0.697295636140135,26033,0.697295636140135
"16","hahaData","0",0.690534726490473,0.381069452980947,0.682512756432376,0.698471426777878,0.5,0,2.95059444036304e-12,0.656422864167179,0.724646588813768,0.704485488126649,0.678365937859609,0.704485488126649,0.656422864167179,0.679605472478524,0.5,0.328211432083589,0.465888137676706,0.690534726490473,26033,0.690534726490473
"17","hahaData","0",0.691533497234173,0.383066994468347,0.683518395855535,0.699462881377295,0.5,0,5.11267013858065e-23,0.643362015980332,0.739704978488015,0.711953749362353,0.674702172389629,0.711953749362353,0.643362015980332,0.675922189038663,0.5,0.321681007990166,0.451828518746159,0.691533497234173,26033,0.691533497234173
"18","hahaData","0",0.691149354640443,0.382298709280885,0.683131606323766,0.699081557824512,0.5,0,4.6909819761187e-21,0.64520590043024,0.737092808850645,0.710490693739425,0.675063326766113,0.710490693739425,0.64520590043024,0.676276373006925,0.5,0.32260295021512,0.454056545789797,0.691149354640443,26033,0.691149354640442
"19","hahaData","0",0.688153042409342,0.376306084818685,0.680114867940349,0.696107014103553,0.5,0,8.9147271708613e-15,0.650122925629994,0.726183159188691,0.703642108764344,0.67485363415679,0.703642108764344,0.650122925629994,0.675824614647392,0.5,0.325061462814997,0.461969883220652,0.688153042409342,26033,0.688153042409342
"20","hahaData","0",0.69260909649662,0.385218192993239,0.684601440777473,0.700530553085045,0.5,0,9.05992776071193e-11,0.661032575291948,0.724185617701291,0.705592914548138,0.681167798814858,0.705592914548138,0.661032575291948,0.682586275287584,0.5,0.330516287645974,0.468423478795329,0.69260909649662,26033,0.69260909649662
"21","loveData","0",0.706926128444301,0.413852256888603,0.700335555328907,0.713452145343758,0.5,0,4.60964059729318e-22,0.745255709231264,0.668596547657339,0.692192790280821,0.724105898745936,0.692192790280821,0.745255709231264,0.71774485001807,0.5,0.372627854615632,0.538329580786963,0.706926128444301,37310,0.706926128444301
"22","loveData","0",0.708856009434974,0.417712018869947,0.702277794319625,0.715369065573357,0.5,0,3.11758854209418e-28,0.752439155140989,0.665272863728959,0.692110453648915,0.728799624148461,0.692110453648915,0.752439155140989,0.721015051112139,0.5,0.376219577570494,0.543583145706015,0.708856009434974,37310,0.708856009434974
"23","loveData","0",0.703280797684143,0.406561595368286,0.696667267519808,0.7098309101197,0.5,0,1.02450743903208e-19,0.73957328186984,0.666988313498445,0.68952419032387,0.719190751445087,0.68952419032387,0.73957328186984,0.713672339765144,0.5,0.36978664093492,0.536292484185697,0.703280797684143,37310,0.703280797684143
"24","loveData","0",0.709392087487938,0.418784174975876,0.702817330401138,0.715901518160076,0.5,0,1.54267115692951e-20,0.746113434116007,0.672670740859869,0.695065920894926,0.725989354316131,0.695065920894926,0.746113434116007,0.719685609390351,0.5,0.373056717058004,0.536721346628069,0.709392087487938,37310,0.709392087487938
"25","loveData","0",0.710357027983274,0.420714055966549,0.703788523110105,0.716859905049411,0.5,0,2.73316809854734e-19,0.745791787284229,0.67492226868232,0.696435722867441,0.726402030925456,0.696435722867441,0.745791787284229,0.72026922081284,0.5,0.372895893642114,0.535434759300954,0.710357027983274,37310,0.710357027983274
"26","loveData","0",0.706014795754262,0.412029591508524,0.699418436207691,0.712546883714147,0.5,0,2.46687579617677e-23,0.745577356063043,0.666452235445481,0.690909090909091,0.723716381418093,0.690909090909091,0.745577356063043,0.71720297029703,0.5,0.372788678031521,0.539562560308781,0.706014795754262,37310,0.706014795754262
"27","loveData","0",0.709338479682642,0.418676959365283,0.702763376297745,0.715848273396726,0.5,0,1.27783022585716e-38,0.760694757156642,0.657982202208642,0.689839572192513,0.733301469709643,0.689839572192513,0.760694757156642,0.723536610238629,0.5,0.380347378578321,0.551356277474,0.709338479682642,37310,0.709338479682642
"28","loveData","0",0.70226224938351,0.40452449876702,0.695642394349782,0.708819004781113,0.5,0,1.24127604005725e-16,0.735391873056717,0.669132625710303,0.689693313222725,0.716614995981169,0.689693313222725,0.735391873056717,0.711809879618099,0.5,0.367695936528359,0.533129623673207,0.70226224938351,37310,0.70226224938351
"29","loveData","0",0.701940602551732,0.403881205103463,0.695318758282011,0.708499447634382,0.5,0,5.60841430931082e-24,0.742360887745256,0.661520317358207,0.686836623350858,0.719701388078852,0.686836623350858,0.742360887745256,0.713520197856554,0.5,0.371180443872628,0.540420285193524,0.701940602551732,37310,0.701940602551732
"30","loveData","0",0.711536399699796,0.423072799399593,0.70497558502754,0.718031218188609,0.5,0,2.66983151116171e-18,0.745899002894821,0.677173796504771,0.697933386837881,0.727147133317983,0.697933386837881,0.745899002894821,0.721119461000259,0.5,0.372949501447411,0.534362603195025,0.711536399699796,37310,0.711536399699796
"31","sadData","0",0.755518655987498,0.511037311974995,0.747072810191035,0.763818929545172,0.5,0,1.40809327083379e-13,0.791756202383278,0.719281109591717,0.738251366120218,0.775484414490312,0.738251366120219,0.791756202383278,0.764068243943821,0.5,0.395878101191639,0.53623754639578,0.755518655987498,20479,0.755518655987498
"32","sadData","0",0.760011721039266,0.520023442078531,0.751616941401862,0.768258361485715,0.5,0,1.68711055770394e-17,0.801328384450088,0.718695057628443,0.740166005052328,0.783432708688245,0.740166005052328,0.801328384450088,0.769533814839133,0.5,0.400664192225044,0.541316663410822,0.760011721039266,20479,0.760011721039266
"33","sadData","0",0.750439538972456,0.500879077944911,0.74193744728448,0.758798959598107,0.5,0,5.45514654801951e-19,0.794491111545224,0.706387966399687,0.73016157989228,0.774635818337618,0.73016157989228,0.794491111545224,0.760969220694171,0.5,0.397245555772612,0.544051572572768,0.750439538972456,20479,0.750439538972456
"34","sadData","0",0.764016409454972,0.528032818909943,0.755668201904262,0.772214189441225,0.5,0,2.7903575698583e-08,0.790779449111154,0.737253369798789,0.750602633042833,0.778947368421053,0.750602633042833,0.790779449111154,0.770167427701674,0.5,0.395389724555577,0.526763039656183,0.764016409454972,20479,0.764016409454972
"35","sadData","0",0.757667513186169,0.515335026372338,0.749245935339076,0.765942291185024,0.5,0,1.26458762818266e-14,0.795272514162922,0.720062512209416,0.739643895348837,0.778622729193071,0.739643895348837,0.795272514162922,0.766450155323355,0.5,0.397636257081461,0.537605000976753,0.757667513186169,20479,0.757667513186169
